,Cycles,EFCs (with Diagnostic),Q_pe,Q_ne,Q_li_cyc,HPPC 50% charge 0s,HPPC 50% charge 3s,HPPC 50% charge 10s,HPPC 50% discharge 0s,HPPC 50% discharge 3s,HPPC 50% discharge 10s
cell_082,528.2529601,514.6848762,0.908163717,0.938844851,0.861364015,1.194946158,1.096721227,1.038913789,1.1916349,1.090439319,1.054229801
cell_084,655.3062428,617.9762814,0.905411239,0.943067989,0.861264867,1.169981582,1.073832994,1.020389699,1.178039995,1.071614156,1.037945717
cell_085,864.5785776,739.2136998,0.906281585,0.960684909,0.862305359,1.157884265,1.064554938,1.008859262,1.165207525,1.063318964,1.031072652
cell_086,885.6320222,757.6487638,0.904341098,0.970979794,0.859283442,1.160655754,1.059979699,1.006333644,1.160229688,1.057473699,1.027193519
cell_087,694.777468,641.6080585,0.909203527,0.959898541,0.866045546,1.156789502,1.054898702,1.000179597,1.157268891,1.051100498,1.019575971
cell_088,699.9965285,654.066195,0.91197623,0.958259042,0.864376038,1.044841709,0.977075188,0.938263777,1.045931484,0.973552284,0.950188196
cell_089,729.4220501,562.4923141,0.902835442,0.972741515,0.857534242,1.159553593,1.066662741,1.016931671,1.161269272,1.059205995,1.025308042
cell_090,700.5167973,538.1390456,0.903229351,0.976500404,0.859030589,1.094200683,1.017549948,0.974258466,1.100612043,1.010489839,0.986525366
cell_091,555.8402944,534.7362818,0.915226266,0.967470432,0.867778097,1.097111719,1.013622436,0.970104983,1.091795869,1.010315678,0.984161185
cell_092,576.974573,554.3564128,0.911643976,0.967085027,0.864851361,1.06079967,0.991407947,0.950175284,1.061102071,0.984898004,0.962432493
cell_093,702.8799585,511.0566177,0.907781763,0.974708453,0.862638608,1.106652412,1.024919822,0.97953252,1.108157003,1.016279101,0.990143266
cell_094,766.7532492,557.3342798,0.904501903,0.976873593,0.860207782,1.110078806,1.022523354,0.977759072,1.098744009,1.016228996,0.989886037
cell_095,503.4276276,476.2634307,0.918489418,0.95472854,0.867279987,1.093124895,1.015131029,0.969324212,1.092031597,1.005060679,0.979059892
cell_096,521.4295913,489.4908403,0.91610963,0.952673635,0.864381539,1.090868564,1.01520199,0.968787596,1.087516078,1.007384507,0.979880595
